en,fr,topic,url,de,es
bacon,Bacon,food,pictures/food/bacon.jpg,Speck,tocino
beef,du boeuf,food,pictures/food/beef.jpg,Rindfleisch,carne de vaca
chicken,poulet,food,pictures/food/chicken.jpg,Hähnchen,pollo
ham,jambon,food,pictures/food/ham.jpg,Schinken,jamón
hamburger,Hamburger,food,pictures/food/hamburger.jpg,Hamburger,hamburguesa
hot dog,Hot-dog,food,pictures/food/hot_dog.jpg,Hotdog,Pancho
lamb chop,côtelette d'agneau,food,pictures/food/lamb_chop.jpg,Lammkotelett,chuleta de cordero
pork,porc,food,pictures/food/pork.jpg,Schweinefleisch,Cerdo
sausage,saucisse,food,pictures/food/sausage.jpg,Wurst,chorizo
steak,steak,food,pictures/food/steak.jpg,Steak,filete
turkey,dinde,food,pictures/food/turkey.jpg,Truthahn,pavo
veal,veau,food,pictures/food/veal.jpg,Kalbfleisch,ternera
apple,Pomme,food,pictures/food/apple.jpg,Apfel,manzana
apricot,abricot,food,pictures/food/apricot.jpg,Aprikose,albaricoque
banana,banane,food,pictures/food/banana.jpg,Banane,plátano
blackberry,la mûre,food,pictures/food/blackberry.jpg,Brombeere,Mora
blueberry,myrtille,food,pictures/food/blueberry.jpg,Blaubeere,arándano
cherry,Cerise,food,pictures/food/cherry.jpg,Kirsche,Cereza
currant,groseille,food,pictures/food/currant.jpg,Johannisbeere,grosella
fig,figue,food,pictures/food/fig.jpg,Feige,higo
grape,grain de raisin,food,pictures/food/grape.jpg,Traube,uva
grapefruit,pamplemousse,food,pictures/food/grapefruit.jpg,Grapefruit,pomelo
kiwi,kiwi,food,pictures/food/kiwi.jpg,Kiwi,kiwi
lemon,citron,food,pictures/food/lemon.jpg,Zitrone,limón
lime,citron vert,food,pictures/food/lime.jpg,Limette,Lima
melon,melon,food,pictures/food/melon.jpg,Melone,melón
nectarine,nectarine,food,pictures/food/nectarine.jpg,Nektarine,nectarina
peach,pêche,food,pictures/food/peach.jpg,Pfirsich,melocotón
pear,poire,food,pictures/food/pear.jpg,Birne,Pera
pineapple,ananas,food,pictures/food/pineapple.jpg,Ananas,piña
plum,prune,food,pictures/food/plum.jpg,Pflaume,ciruela
pomegranate,Grenade,food,pictures/food/pomegranate.jpg,Granatapfel,granada
prune,prune,food,pictures/food/prune.jpg,Pflaume,ciruela pasa
raspberry,framboise,food,pictures/food/raspberry.jpg,Himbeere,frambuesa
strawberry,fraise,food,pictures/food/strawberry.jpg,Erdbeere,fresa
tangerine,mandarine,food,pictures/food/tangerine.jpg,Mandarine,Mandarina
watermelon,pastèque,food,pictures/food/watermelon.jpg,Wassermelone,sandía
apple pie,tarte aux pommes,food,pictures/food/apple_pie.jpg,Apfelkuchen,pie de manzana
cake,gâteau,food,pictures/food/cake.jpg,Kuchen,pastel
candy,bonbons,food,pictures/food/candy.jpg,Süßigkeiten,caramelo
fruit,fruit,food,pictures/food/fruit.jpg,Obst,Fruta
ice cream,crème glacée,food,pictures/food/ice_cream.jpg,Eis,helado
muffin,muffin,food,pictures/food/muffin.jpg,Muffin,mollete
pie,tarte,food,pictures/food/pie.jpg,Kuchen,tarta
pudding,pudding,food,pictures/food/pudding.jpg,Pudding,pudín
